,sname,dname,cname,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
662,Gunderson High,San Jose Unified,Santa Clara,246,17,24.0,22.0,23.0,22.0,11.0,64.71
663,Gustine High,Gustine Unified,Merced,140,28,20.0,19.0,17.0,19.0,8.0,28.57
664,Half Moon Bay High,Cabrillo Unified,San Mateo,223,65,27.0,26.0,25.0,25.0,50.0,76.92
666,Hamilton High,Hamilton Unified,Glenn,86,30,18.0,18.0,18.0,19.0,7.0,23.33
668,Hanford High,Hanford Joint Union High,Kings,335,18,21.0,21.0,20.0,21.0,9.0,50.0
669,Hanford West High,Hanford Joint Union High,Kings,301,17,21.0,20.0,19.0,20.0,9.0,52.94
671,Harbor High,Santa Cruz City High,Santa Cruz,179,45,20.0,19.0,21.0,20.0,17.0,37.78
672,Harmony Magnet Academy,Porterville Unified,Tulare,109,38,22.0,21.0,22.0,22.0,21.0,55.26
675,Hawthorne High,Centinela Valley Union High,Los Angeles,498,124,18.0,17.0,17.0,17.0,20.0,16.13
676,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112,112,20.0,20.0,21.0,19.0,49.0,43.75
677,Hayward High,Hayward Unified,Alameda,355,37,21.0,20.0,20.0,20.0,21.0,56.76
678,Healdsburg High,Healdsburg Unified,Sonoma,139,36,24.0,25.0,22.0,22.0,29.0,80.56
679,Health Careers Academy,Stockton Unified,San Joaquin,96,41,18.0,17.0,18.0,18.0,11.0,26.83
683,Hector G. Godinez,Santa Ana Unified,Orange,627,72,21.0,18.0,20.0,20.0,33.0,45.83
684,Helen Bernstein High,Los Angeles Unified,Los Angeles,124,34,15.0,14.0,16.0,15.0,4.0,11.76
686,Helix High,Grossmont Union High,San Diego,578,239,22.0,21.0,22.0,21.0,134.0,56.07
687,Hemet High,Hemet Unified,Riverside,573,18,25.0,22.0,21.0,20.0,13.0,72.22
688,Henry High,San Diego Unified,San Diego,506,138,24.0,24.0,25.0,24.0,104.0,75.36
689,Henry J. Kaiser High,Fontana Unified,San Bernardino,516,467,16.0,14.0,16.0,16.0,63.0,13.49
690,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501,223,29.0,29.0,29.0,28.0,201.0,90.13
691,Herbert Hoover High,Fresno Unified,Fresno,360,31,17.0,15.0,17.0,17.0,4.0,12.9
693,Hercules High,West Contra Costa Unified,Contra Costa,219,20,23.0,25.0,22.0,23.0,13.0,65.0
694,Heritage High,Perris Union High,Riverside,610,150,19.0,18.0,18.0,19.0,44.0,29.33
695,Heritage High,Liberty Union High,Contra Costa,574,112,26.0,25.0,24.0,25.0,87.0,77.68
698,Hesperia High,Hesperia Unified,San Bernardino,445,40,20.0,18.0,18.0,18.0,9.0,22.5
700,High Tech High,San Diego Unified,San Diego,126,25,25.0,23.0,22.0,23.0,15.0,60.0
701,High Tech High Chula Vista,SBC - High Tech High,San Diego,147,16,22.0,19.0,19.0,19.0,6.0,37.5
702,High Tech High International,San Diego Unified,San Diego,98,22,22.0,21.0,20.0,19.0,10.0,45.45
703,High Tech High Media Arts,San Diego Unified,San Diego,90,38,21.0,21.0,19.0,20.0,19.0,50.0
704,High Tech High North County,SBC - High Tech High,San Diego,95,24,23.0,22.0,20.0,22.0,13.0,54.17
705,High Tech LA,Los Angeles Unified,Los Angeles,90,15,20.0,21.0,21.0,20.0,6.0,40.0
706,Highland High,Kern High,Kern,477,22,22.0,19.0,20.0,20.0,10.0,45.45
707,Highland High,Antelope Valley Union High,Los Angeles,691,25,22.0,21.0,19.0,20.0,12.0,48.0
710,Hilda L. Solis Learning Academy School of Technology Business and Education,Los Angeles Unified,Los Angeles,67,20,17.0,16.0,18.0,18.0,2.0,10.0
711,Hillcrest High,Alvord Unified,Riverside,391,17,22.0,22.0,22.0,21.0,11.0,64.71
712,Hillsdale High,San Mateo Union High,San Mateo,356,65,26.0,25.0,25.0,25.0,55.0,84.62
713,Hilltop Senior High,Sweetwater Union High,San Diego,599,73,21.0,20.0,20.0,21.0,36.0,49.32
714,Hilmar High,Hilmar Unified,Merced,154,26,22.0,20.0,20.0,20.0,11.0,42.31
715,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364,28,15.0,15.0,18.0,17.0,1.0,3.57
716,Hollywood Senior High,Los Angeles Unified,Los Angeles,334,48,20.0,20.0,19.0,20.0,21.0,43.75
717,Holtville High,Holtville Unified,Imperial,138,29,20.0,18.0,20.0,19.0,9.0,31.03
718,Homestead High,Fremont Union High,Santa Clara,605,197,30.0,30.0,30.0,29.0,185.0,93.91
721,Hoover High,San Diego Unified,San Diego,489,206,18.0,17.0,18.0,18.0,49.0,23.79
725,Hueneme High,Oxnard Union High,Ventura,491,30,21.0,19.0,20.0,19.0,13.0,43.33
730,Huntington Beach High,Huntington Beach Union High,Orange,718,205,25.0,24.0,24.0,23.0,159.0,77.56
731,Huntington Park Senior High,Los Angeles Unified,Los Angeles,301,44,16.0,16.0,17.0,17.0,7.0,15.91
732,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120,21,18.0,17.0,16.0,16.0,3.0,14.29
736,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102,23,18.0,18.0,19.0,18.0,5.0,21.74
737,Imperial High,Imperial Unified,Imperial,279,65,23.0,22.0,21.0,22.0,35.0,53.85
741,Independence High,East Side Union High,Santa Clara,683,86,21.0,20.0,21.0,21.0,40.0,46.51
745,Independence High,Kern High,Kern,511,41,20.0,20.0,19.0,20.0,15.0,36.59
750,Inderkum High,Natomas Unified,Sacramento,471,463,18.0,16.0,18.0,17.0,110.0,23.76
751,Indian Springs High,San Bernardino City Unified,San Bernardino,382,110,17.0,16.0,17.0,17.0,20.0,18.18
752,Indio High,Desert Sands Unified,Riverside,517,45,18.0,17.0,17.0,18.0,9.0,20.0
754,Inglewood High,Inglewood Unified,Los Angeles,176,60,16.0,16.0,16.0,16.0,6.0,10.0
764,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131,54,26.0,25.0,23.0,23.0,44.0,81.48
765,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84,36,19.0,18.0,18.0,18.0,10.0,27.78
768,Irvine High,Irvine Unified,Orange,533,139,28.0,29.0,29.0,28.0,127.0,91.37
769,Irvington High,Fremont Unified,Alameda,497,111,30.0,31.0,30.0,29.0,103.0,92.79
773,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581,269,18.0,17.0,19.0,17.0,56.0,20.82
774,James C. Enochs High,Modesto City High,Stanislaus,577,88,23.0,22.0,22.0,22.0,54.0,61.36
776,James Logan High,New Haven Unified,Alameda,885,132,24.0,23.0,24.0,24.0,90.0,68.18
777,James Monroe High,Los Angeles Unified,Los Angeles,510,51,20.0,19.0,20.0,19.0,18.0,35.29
778,Jefferson High,Jefferson Union High,San Mateo,260,19,19.0,20.0,19.0,19.0,9.0,47.37
779,Jesse M. Bethel High,Vallejo City Unified,Solano,380,44,20.0,18.0,18.0,19.0,13.0,29.55
780,John A. Rowland High,Rowland Unified,Los Angeles,513,51,25.0,25.0,26.0,25.0,42.0,82.35
783,John C. Kimball High,Tracy Joint Unified,San Joaquin,349,25,24.0,22.0,23.0,23.0,16.0,64.0
784,John F. Kennedy High,Sacramento City Unified,Sacramento,537,70,24.0,22.0,24.0,23.0,47.0,67.14
785,John F. Kennedy High,Corona-Norco Unified,Riverside,232,59,22.0,22.0,20.0,21.0,33.0,55.93
786,John F. Kennedy High,Fremont Unified,Alameda,310,38,26.0,25.0,25.0,24.0,29.0,76.32
787,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197,15,16.0,16.0,16.0,14.0,0.0,0.0
788,John F. Kennedy High,Anaheim Union High,Orange,654,55,23.0,23.0,23.0,23.0,35.0,63.64
789,John F. Kennedy High,Los Angeles Unified,Los Angeles,463,32,21.0,20.0,21.0,20.0,14.0,43.75
